"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @Rob_Leitch: Lots of rain but 25 volunteers and 514 roses successfully planted at #Sidcup Garden Project this morning. #Community @LBofB…",FALSE,0,NA,2016-11-13 11:53:21,FALSE,NA,"797769315223293952",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","kramyletag",7,TRUE,FALSE,NA,NA
"Community prepares garden for a new season - Martins Ferry Times Leader https://t.co/vc5Wqmhhyo",FALSE,0,NA,2016-11-13 11:52:34,FALSE,NA,"797769118694768640",NA,"<a href=""http://dlvr.it"" rel=""nofollow"">dlvr.it</a>","Gardenshare",0,FALSE,FALSE,NA,NA
"RT @ArmySouthEast: Wreaths laid by Aldershot Garrison units and the local community at the Garden of Remembrance.  #LestWeForget https://t.…",FALSE,0,NA,2016-11-13 11:39:03,FALSE,NA,"797765719391866880",NA,"<a href=""https://www.twitter.com/JiveLocal"" rel=""nofollow"">JiveLocal</a>","JiveLocal",3,TRUE,FALSE,NA,NA
"RT @ArmySouthEast: Wreaths laid by Aldershot Garrison units and the local community at the Garden of Remembrance.  #LestWeForget https://t.…",FALSE,0,NA,2016-11-13 11:35:01,FALSE,NA,"797764704022265856",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Chrissie318",3,TRUE,FALSE,NA,NA
"RT @ArmySouthEast: Wreaths laid by Aldershot Garrison units and the local community at the Garden of Remembrance.  #LestWeForget https://t.…",FALSE,0,NA,2016-11-13 11:33:13,FALSE,NA,"797764249414156290",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","FCOMattBaugh",3,TRUE,FALSE,NA,NA
"Wreaths laid by Aldershot Garrison units and the local community at the Garden of Remembrance.  #LestWeForget https://t.co/FN7V89fSfe",FALSE,4,NA,2016-11-13 11:32:18,FALSE,NA,"797764020581306368",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","ArmySouthEast",3,FALSE,FALSE,NA,NA
"LAST CHANCE TO VOTE! #BagsofHelp closes today- help us make North Park Community Garden Awesome! https://t.co/wJagAvGOXC",FALSE,0,NA,2016-11-13 11:30:02,FALSE,NA,"797763450063581184",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Ykids_Charity",0,FALSE,FALSE,NA,NA
"RT @Rob_Leitch: Lots of rain but 25 volunteers and 514 roses successfully planted at #Sidcup Garden Project this morning. #Community @LBofB…",FALSE,0,NA,2016-11-13 11:14:50,FALSE,NA,"797759624602644481",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","SusanDa99723710",7,TRUE,FALSE,NA,NA
"Community Event: Jacksonville Garden Club: Monthly Meeting https://t.co/uWZM0SkRsu",FALSE,0,NA,2016-11-13 11:03:13,FALSE,NA,"797756701378232320",NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","JacksonvilleCC",0,FALSE,FALSE,NA,NA
"RT @a_coulshed: The Community Garden and Leaf Room at Ninewells are well worth a visit! Lots of lovely projects happening and great people…",FALSE,0,NA,2016-11-13 10:57:03,FALSE,NA,"797755145987719168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PeepholeDundee",1,TRUE,FALSE,NA,NA
"Even landed estates need some community space. From ST: Kampung spirit blooms in new garden https://t.co/bc9UDamtXX",FALSE,0,NA,2016-11-13 10:55:40,FALSE,NA,"797754798476922880",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","lynnylchan",0,FALSE,FALSE,NA,NA
"There are somethings still growing in our community garden thanks to @SelinaBamforth #kohlrabi https://t.co/RKoB9oeRem",FALSE,0,NA,2016-11-13 10:26:03,FALSE,NA,"797747347354742784",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","OldPrintWorks",0,FALSE,FALSE,NA,NA
"@bishyroadnet do you know what's happening to the community garden?!",FALSE,0,"bishyroadnet",2016-11-13 10:12:48,FALSE,"797739884387725312","797744010139934720","154127018","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","PippaMyring",0,FALSE,FALSE,NA,NA
"RT @Rob_Leitch: It's raining but that won't stop us! Hundreds of roses being planted at the #Sidcup Garden Project #Community #Bexley https…",FALSE,0,NA,2016-11-13 10:12:37,FALSE,NA,"797743967358087168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AllandAboutSidc",4,TRUE,FALSE,NA,NA
"RT @Rob_Leitch: Lots of rain but 25 volunteers and 514 roses successfully planted at #Sidcup Garden Project this morning. #Community @LBofB…",FALSE,0,NA,2016-11-13 10:12:35,FALSE,NA,"797743955555319808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AllandAboutSidc",7,TRUE,FALSE,NA,NA
"@TESOLoz @BassHillPS 
Thanks Cindy. We sold 85 cookbooks to our school community and raised over $1200 to make a school vegi garden",FALSE,1,"TESOLoz",2016-11-13 10:03:47,FALSE,"797740851006873600","797741744729169922","1320024973","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MrsLouiseTate",0,FALSE,FALSE,NA,NA
"RT @NHSTayside: Beautiful new Leaf Room in Ninewells Community Garden opened today by @ShonaRobison @fcscotlandnews https://t.co/SkfspW52qU…",FALSE,0,NA,2016-11-13 09:56:20,FALSE,NA,"797739867761426433",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","_Angelika_K",17,TRUE,FALSE,NA,NA
